V1 ID,V2 ID,Promotion,Year,Title,V3 ID,Netflix ID,YouTube ID
-,/program/Super-Summer-Sizzler-1993-130359,ECW,1993,Summer Sizzler 1993,126094/super-summer-sizzler-1993,-,-
31356101,ECW-Hardcore-TV-9412,ECW,1994,ECW Hardcore TV 1994-08-30,73525/ecw-hardcore-tv-aug-30-1994,-,-
2525724183,/program/When-Worlds-Collide-1994-95213,ECW,1994,When Worlds Collide,86585/when-worlds-collide-1994,-,-
2525724483,/program/The-Night-The-Line-Was-Crossed-1994-95211,ECW,1994,The Night The Line Was Crossed,86590/the-night-the-line-was-crossed-1994,-,-
2525727883,/program/Hardcore-Heaven-1994-100065,ECW,1994,Hardcore Heaven 1994,90167/hardcore-heaven-1994,-,-
2525727983,/program/Hostile-City-Showdown-1994-99438,ECW,1994,Hostile City Showdown 1994,86583/ecw-hostile-city-showdown-1994,-,-
2525728783,/program/November-to-Remember-1994-99445,ECW,1994,November to Remember 1994,86594/november-to-remember-1994,-,-
-,/program/Tag-Wars-1994-130295,ECW,1994,Tag Wars 1994,126067/tag-wars-1994,-,-
-,/program/Heatwave-1994-130452,ECW,1994,Heat Wave 1994,126160/heatwave-1994,-,-
36902959,November-to-Remember-1995-10360,ECW,1995,November To Remember 1995,74778/ecw-november-to-remember-1995,-,-
1038862683,Hardcore-Heaven-1995-10446,ECW,1995,Hardcore Heaven 1995,74721/ecw-hardcore-heaven-1995,-,-
2525728083,/program/Gangstas-Paradise-1995-95214,ECW,1995,Gangstas Paradise,86580/ecw-gangstas-paradise-1995,-,-
2525728483,/program/Holiday-Hell-1995-99444,ECW,1995,Holiday Hell 1995,86593/ecw-holiday-hell-1995,-,-
2525728583,3-Way-Dance-1995-95208,ECW,1995,Three Way Dance,86579/ecw-3-way-dance,-,-
-,/program/Double-Tables-1995-130356,ECW,1995,Double Tables,126083/double-tables-1995,-,-
-,/program/Enter-the-Sandman-1995-130357,ECW,1995,Enter The Sandman,126097/enter-the-sandman-1995,-,-
-,/program/Return-of-the-Funker-1995-130358,ECW,1995,Return Of The Funker,126070/return-of-the-funker-1995,-,-
-,/program/Barbed-Wire-Hoodies-and-Chokeslams-130360,ECW,1995,"Barbed Wire, Hoodies, and Chokeslams",126082/barbed-wire-hoodies-and-chokeslams,-,-
-,/program/ECW-Hostile-City-Showdown-1995-130398,ECW,1995,Hostile City Showdown 1995,126742/ecw-hostile-city-showdown-1995,-,-
-,/program/Heatwave-1995-130431,ECW,1995,Heat Wave 1995,126159/heatwave-1995,-,-
36902951,CyberSlam-1996-10413,ECW,1996,Cyberslam 1996,74723/cyberslam-1996,-,-
2525724583,/program/Massacre-on-Queens-BLVD-1996-99433,ECW,1996,Massacre on Queens Boulevard,86589/ecw-massacre-on-queens-blvd-1996,-,-
2525728383,/program/House-Party-1996-99450,ECW,1996,House Party 1996,86591/ecw-house-party-1996,-,-
2525728683,/program/Big-Apple-Blizzard-Blast-1996-99449,ECW,1996,Big Apple Blizzard Blast 1996,86592/ecw-big-apple-blizzard-blast,-,-
2525728883,/program/Hostile-City-Showdown-1996-99440,ECW,1996,Hostile City Showdown 1996,86587/ecw-hostile-city-showdown-1996,-,-
-,/program/ECW-Natural-Born-Killaz-1996-146080,ECW,1996,Natural Born Killaz,156950/ecw-natural-born-killaz-1996,-,-
-,/program/ECW-November-to-Remember-1996-146082,ECW,1996,November to Remember 1996,156953/ecw-november-to-remember-1996,-,-
-,/program/ECW-The-Doctor-Is-In-1996-146214,ECW,1996,The Doctor Is In,157026/ecw-the-doctor-is-in-1996,-,-
-,/program/ECW-Just-Another-Night-1996-146224,ECW,1996,Just Another Night 1996,157021/ecw-just-another-night-1996,-,-
-,/program/ECW-Big-Ass-Extreme-Bash-1996-146247,ECW,1996,Big Ass Extreme Bash,157023/ecw-big-ass-extreme-bash-1996,-,-
-,/program/ECW-Heat-Wave-1996-146282,ECW,1996,Heat Wave 1996,157024/ecw-heat-wave-1996,-,-
-,/program/Hardcore-Heaven-1996-146283,ECW,1996,Hardcore Heaven 1996,157022/hardcore-heaven-1996,-,-
-,/program/A-Matter-of-Respect-1996-146284,ECW,1996,A Matter of Respect,157025/a-matter-of-respect-1996,-,-
31537443,Hardcore-Heaven-1997-10461,ECW,1997,Hardcore Heaven 1997,74692/ecw-hardcore-heaven-1997,-,-
31538707,Barely-Legal-1997-10724,ECW,1997,Barely Legal 1997,74686/ecw-barely-legal-1997,-,-
31682041,November-to-Remember-1997-10382,ECW,1997,November to Remember 1997,74759/ecw-november-to-remember-1997,-,-
-,/program/ECW-Crossing-the-Line-Again-1997-146079,ECW,1997,Crossing The Line Again,156949/ecw-crossing-the-line-again-1997,-,-
-,/program/ECW-CyberSlam-1997-146081,ECW,1997,Cyberslam 1997,156951/ecw-cyberslam-1997,-,-
31355133,November-to-Remember-1998-9550,ECW,1998,November to Remember 1998,74724/ecw-november-to-remember-1998,-,-
31537457,ECW-Heat-Wave-1998-9494,ECW,1998,Heat Wave 1998,74734/ecw-heat-wave-1998,-,-
31683631,Wrestlepalooza-1998-9477,ECW,1998,Wrestlepalooza 1998,74776/ecw-wrestlepalooza-1998,-,-
31686845,Living-Dangerously-1998-10547,ECW,1998,Living Dangerously 1998,74787/ecw-living-dangerously-1998,-,-
31356689,Hardcore-Heaven-1999-10478,ECW,1999,Hardcore Heaven 1999,74685/ecw-hardcore-heaven-1999,-,-
31538991,Anarchy-Rulz-1999-10280,ECW,1999,Anarchy Rulz 1999,74706/ecw-anarchy-rulz-1999,-,-
31539019,Living-Dangerously-1999-10564,ECW,1999,Living Dangerously 1999,74738/ecw-living-dangerously-1999,-,-
31681983,ECW-Heat-Wave-1999-9524,ECW,1999,Heat Wave 1999,74708/ecw-heat-wave-1999,-,-
31682053,Guilty-as-Charged-1999-9950,ECW,1999,Guilty as Charged 1999,74700/ecw-guilty-as-charged-1999,-,-
31684123,November-to-Remember-1999-9580,ECW,1999,November to Remember 1999,74789/ecw-november-to-remember-1999,-,-
31536911,Living-Dangerously-2000-10586,ECW,2000,Living Dangerously 2000,74786/ecw-living-dangerously-2000,-,-
31538309,Anarchy-Rulz-2000-10296,ECW,2000,Anarchy Rulz 2000,74705/ecw-anarchy-rulz-2000,-,-
31539053,Massacre-on-34th-St-2000-9318,ECW,2000,ECW Massacre on 34th Street,74752/ecw-massacre-on-34th-st-2000,-,-
